Month,Service Category,Client Name,Revenue,Operational Cost,Marketing Spend,Employee Cost,Software Subscription Cost,Gross Profit,Net Profit,CAC,ROAS,Budget,Actual Spending
Feb-2025,E-commerce Enablement,Eiger Adventure,409.6,206.5,37.3,53.5,21.1,203.1,91.1,4.28,3.98,438.0,336.9
Feb-2025,E-commerce Enablement,MS Glow,415.7,197.8,34.4,54.6,19.8,217.9,109.0,4.06,3.84,412.8,314.3
Feb-2025,E-commerce Enablement,Scarlett Whitening,131.1,60.0,12.8,17.0,6.3,71.1,35.0,4.13,4.05,128.8,98.8
Feb-2025,E-commerce Enablement,Sociolla,176.5,81.0,16.2,23.1,8.9,95.5,47.3,4.38,4.23,181.4,128.6
Feb-2025,SaaS Creator Platform,IDN Media,84.1,24.7,12.0,17.2,10.3,59.5,20.0,5.14,3.55,89.2,65.5
Feb-2025,SaaS Creator Platform,Narasi TV,198.1,59.2,26.5,39.4,24.4,138.9,48.6,4.7,2.91,189.6,144.2
Feb-2025,SaaS Creator Platform,Vidio Creators,174.9,53.9,24.6,34.2,21.0,121.0,41.3,5.46,2.95,177.5,134.2
Feb-2025,SaaS Creator Platform,TikTok Shop ID,199.5,61.0,25.4,39.7,24.2,138.4,49.1,5.51,3.47,209.2,147.1
Mar-2025,Influencer Marketing,Wardah Cosmetics,268.6,113.9,29.7,37.5,8.4,154.6,79.0,3.59,3.89,257.9,184.1
Mar-2025,Influencer Marketing,Kopi Kenangan,161.8,65.3,17.0,22.1,4.8,96.5,52.7,3.53,3.72,173.5,108.1
Mar-2025,Influencer Marketing,Erigo Apparel,243.0,104.8,25.2,35.1,7.5,138.2,70.5,3.49,3.98,237.4,179.9
Mar-2025,Influencer Marketing,Somethinc,355.2,158.0,35.2,49.5,11.0,197.2,101.6,3.05,4.63,383.2,255.5
Mar-2025,Ads Management,Tokopedia,432.1,226.0,38.0,50.6,17.0,206.0,100.4,2.72,6.09,447.6,341.4
Mar-2025,Ads Management,Traveloka,433.9,234.4,33.7,53.0,17.8,199.5,95.0,2.61,5.88,418.1,343.8
Mar-2025,Ads Management,Ruangguru,505.0,280.7,40.3,62.5,19.9,224.4,101.6,2.12,5.03,537.5,414.7
Mar-2025,Ads Management,BliBli,278.3,146.8,23.5,32.6,11.5,131.5,63.9,2.55,4.95,267.9,229.0
Mar-2025,E-commerce Enablement,Eiger Adventure,231.4,116.6,19.3,30.2,11.0,114.8,54.3,4.06,3.4,224.0,172.3
Mar-2025,E-commerce Enablement,MS Glow,246.7,122.2,22.8,33.3,12.2,124.5,56.2,3.84,4.14,242.6,203.1
Mar-2025,E-commerce Enablement,Scarlett Whitening,345.7,175.4,28.3,46.4,17.3,170.4,78.3,4.71,3.41,357.2,285.2
Mar-2025,E-commerce Enablement,Sociolla,501.6,245.4,47.5,65.3,25.4,256.2,117.9,4.2,4.17,479.9,380.2
Mar-2025,SaaS Creator Platform,IDN Media,505.2,160.4,74.5,101.8,59.5,344.8,109.0,6.02,3.34,492.3,420.1
Mar-2025,SaaS Creator Platform,Narasi TV,118.9,37.6,17.6,24.1,14.2,81.3,25.4,6.21,3.48,113.8,90.0
Mar-2025,SaaS Creator Platform,Vidio Creators,43.7,13.6,6.8,8.6,5.3,30.1,9.4,5.3,3.56,47.1,36.1
Mar-2025,SaaS Creator Platform,TikTok Shop ID,132.9,39.7,17.9,25.9,16.5,93.2,32.9,6.02,3.58,146.2,102.1
Apr-2025,Influencer Marketing,Wardah Cosmetics,194.8,80.9,18.0,27.7,5.9,113.8,62.2,3.46,4.22,209.9,135.3
Apr-2025,Influencer Marketing,Kopi Kenangan,335.7,147.6,33.2,46.0,9.6,188.2,99.3,3.44,4.32,354.4,232.5
Apr-2025,Influencer Marketing,Erigo Apparel,244.7,97.8,23.9,34.6,7.3,146.9,81.1,3.14,4.61,245.2,166.3
Apr-2025,Influencer Marketing,Somethinc,330.1,137.8,34.2,47.6,10.3,192.4,100.2,2.86,4.63,338.0,227.3
Apr-2025,Ads Management,Tokopedia,510.4,271.4,38.0,62.2,19.8,239.0,119.1,2.29,6.02,521.1,404.4
Apr-2025,Ads Management,Traveloka,416.3,222.4,30.3,49.0,16.3,193.9,98.3,2.17,4.96,403.0,321.4
Apr-2025,Ads Management,Ruangguru,196.7,107.1,15.9,24.0,7.5,89.6,42.1,2.62,5.67,189.2,163.2
Apr-2025,Ads Management,BliBli,664.0,349.4,51.0,81.8,27.2,314.6,154.6,2.17,5.12,667.7,516.2
Apr-2025,E-commerce Enablement,Eiger Adventure,110.8,53.2,10.1,14.2,5.4,57.7,27.9,3.95,3.36,110.6,81.6
Apr-2025,E-commerce Enablement,MS Glow,546.7,252.8,53.9,71.9,27.8,294.0,140.3,4.46,3.8,526.5,414.2
Apr-2025,E-commerce Enablement,Scarlett Whitening,400.3,198.3,35.8,50.9,19.6,202.0,95.6,3.93,3.93,414.6,304.4
Apr-2025,E-commerce Enablement,Sociolla,374.2,182.6,32.1,47.5,18.1,191.6,93.9,3.79,3.49,366.0,277.9
Apr-2025,SaaS Creator Platform,IDN Media,276.2,81.1,36.2,56.2,34.6,195.1,68.1,5.59,3.25,273.9,217.3
Apr-2025,SaaS Creator Platform,Narasi TV,152.3,45.0,21.2,30.6,17.8,107.3,37.7,4.86,3.28,151.3,117.4
Apr-2025,SaaS Creator Platform,Vidio Creators,213.1,64.1,30.4,41.5,25.2,149.0,52.0,4.9,2.86,234.1,160.4
Apr-2025,SaaS Creator Platform,TikTok Shop ID,160.6,47.1,23.6,32.9,19.5,113.5,37.5,5.45,3.13,160.9,130.7
May-2025,Influencer Marketing,Wardah Cosmetics,281.8,122.8,26.6,38.7,8.2,159.0,85.5,3.5,4.37,289.8,196.2
May-2025,Influencer Marketing,Kopi Kenangan,188.3,78.5,20.3,26.4,5.6,109.7,57.5,3.16,4.0,200.0,132.8
May-2025,Influencer Marketing,Erigo Apparel,248.1,109.3,24.4,35.0,7.7,138.8,71.6,3.32,3.81,270.6,181.6
May-2025,Influencer Marketing,Somethinc,222.2,90.1,23.9,31.5,6.7,132.1,70.0,3.58,4.49,216.1,151.3
May-2025,Ads Management,Tokopedia,488.2,280.1,36.2,58.5,20.1,208.1,93.3,2.15,5.14,516.7,410.4
May-2025,Ads Management,Traveloka,218.8,123.5,17.8,25.9,8.6,95.3,42.9,2.17,6.04,227.0,176.6
May-2025,Ads Management,Ruangguru,438.9,254.5,32.8,53.2,17.6,184.4,80.8,2.48,4.86,474.4,380.5
May-2025,Ads Management,BliBli,415.6,234.7,36.7,50.9,16.0,181.0,77.4,2.45,5.64,421.3,352.1
May-2025,E-commerce Enablement,Eiger Adventure,155.7,73.8,15.1,19.6,7.7,82.0,39.6,3.97,3.83,169.4,115.9
May-2025,E-commerce Enablement,MS Glow,269.9,133.6,24.3,34.6,13.4,136.3,64.0,3.66,3.5,276.5,207.1
May-2025,E-commerce Enablement,Scarlett Whitening,324.5,154.2,30.0,42.8,15.4,170.3,82.1,4.3,3.51,355.1,236.7
May-2025,E-commerce Enablement,Sociolla,492.0,226.6,49.6,64.3,24.8,265.4,126.7,3.57,4.03,482.9,386.7
May-2025,SaaS Creator Platform,IDN Media,160.9,48.2,22.3,32.5,18.6,112.7,39.3,4.98,3.48,175.7,121.7
May-2025,SaaS Creator Platform,Narasi TV,156.8,48.0,21.7,30.5,18.2,108.8,38.4,5.86,3.32,149.6,116.6
May-2025,SaaS Creator Platform,Vidio Creators,141.4,43.4,17.9,27.6,17.5,97.9,34.9,4.97,3.32,139.3,103.3
May-2025,SaaS Creator Platform,TikTok Shop ID,222.7,68.8,33.9,45.8,26.4,153.9,47.8,5.78,2.97,221.4,185.2
Jun-2025,Influencer Marketing,Wardah Cosmetics,283.7,116.7,29.4,39.7,8.6,167.0,89.3,3.14,3.99,309.9,202.9
Jun-2025,Influencer Marketing,Kopi Kenangan,106.9,46.9,10.8,15.5,3.3,60.0,30.4,3.13,3.72,105.9,78.0
Jun-2025,Influencer Marketing,Erigo Apparel,181.8,74.7,16.9,26.2,5.7,107.1,58.3,3.22,3.87,180.1,118.8
Jun-2025,Influencer Marketing,Somethinc,417.9,169.0,42.9,57.9,12.6,248.9,135.5,3.35,4.53,410.0,271.5
Jun-2025,Ads Management,Tokopedia,484.9,275.0,35.6,58.9,18.9,209.9,96.5,2.32,5.22,486.5,403.6
Jun-2025,Ads Management,Traveloka,698.4,388.8,56.1,85.2,29.2,309.6,139.1,2.57,5.12,666.7,553.1
Jun-2025,Ads Management,Ruangguru,143.2,75.3,11.6,17.4,5.6,67.9,33.3,2.6,4.98,137.6,114.2
Jun-2025,Ads Management,BliBli,210.9,119.0,16.8,25.0,8.7,91.9,41.4,2.62,5.76,209.0,173.7
Jun-2025,E-commerce Enablement,Eiger Adventure,227.7,112.6,22.1,30.1,11.6,115.1,51.3,4.53,3.57,233.0,173.6
Jun-2025,E-commerce Enablement,MS Glow,304.6,154.1,24.9,40.4,15.9,150.5,69.4,3.71,3.86,331.2,226.7
Jun-2025,E-commerce Enablement,Scarlett Whitening,319.9,150.9,31.8,43.2,16.7,169.0,77.4,4.07,4.13,344.4,241.4
Jun-2025,E-commerce Enablement,Sociolla,461.8,211.5,42.9,59.2,22.2,250.3,126.0,3.58,3.98,462.3,349.1
Jun-2025,SaaS Creator Platform,IDN Media,162.7,46.5,24.9,31.6,20.3,116.2,39.5,5.55,3.54,174.1,131.9
Jun-2025,SaaS Creator Platform,Narasi TV,144.3,44.8,20.0,29.0,17.5,99.5,33.1,6.12,3.57,153.7,111.9
Jun-2025,SaaS Creator Platform,Vidio Creators,304.3,94.1,40.6,59.5,36.0,210.1,74.1,5.15,3.04,299.7,222.0
Jun-2025,SaaS Creator Platform,TikTok Shop ID,70.6,22.4,9.8,14.1,8.6,48.2,15.7,5.04,3.55,75.4,53.3
Jul-2025,Influencer Marketing,Wardah Cosmetics,402.5,172.7,41.6,56.7,11.7,229.8,119.8,2.89,3.92,393.6,295.6
Jul-2025,Influencer Marketing,Kopi Kenangan,203.7,81.8,22.7,29.4,6.4,121.9,63.4,3.68,3.87,205.6,146.4
Jul-2025,Influencer Marketing,Erigo Apparel,125.6,51.0,13.6,17.3,3.7,74.6,40.0,3.24,4.29,130.3,83.0
Jul-2025,Influencer Marketing,Somethinc,300.9,123.7,27.9,43.5,9.4,177.1,96.3,3.55,4.51,315.4,208.8
Jul-2025,Ads Management,Tokopedia,318.9,168.1,27.7,38.4,12.7,150.8,71.9,2.47,5.93,319.6,255.5
Jul-2025,Ads Management,Traveloka,219.5,118.2,19.2,27.0,8.9,101.3,46.1,2.65,5.98,231.9,182.4
Jul-2025,Ads Management,Ruangguru,345.0,194.5,28.6,42.3,13.3,150.5,66.3,2.67,5.99,329.3,292.9
Jul-2025,Ads Management,BliBli,723.5,392.7,61.6,85.2,29.9,330.8,154.2,2.64,5.51,688.1,564.6
Jul-2025,E-commerce Enablement,Eiger Adventure,240.9,116.7,24.1,31.1,12.2,124.2,56.7,4.63,3.44,262.7,190.7
Jul-2025,E-commerce Enablement,MS Glow,199.9,94.3,19.0,25.3,10.1,105.6,51.2,3.91,3.91,191.3,157.0
Jul-2025,E-commerce Enablement,Scarlett Whitening,310.4,157.4,29.7,39.5,15.9,153.0,67.8,3.52,3.36,309.9,245.9
Jul-2025,E-commerce Enablement,Sociolla,570.4,280.7,51.2,73.4,29.9,289.7,135.2,4.01,3.76,555.9,455.9
Jul-2025,SaaS Creator Platform,IDN Media,100.0,31.6,13.9,20.3,11.9,68.4,22.3,5.13,3.57,101.1,82.2
Jul-2025,SaaS Creator Platform,Narasi TV,246.6,72.0,31.3,50.1,29.2,174.6,64.0,6.1,3.18,270.1,179.1
Jul-2025,SaaS Creator Platform,Vidio Creators,90.4,28.1,13.5,18.6,11.1,62.3,19.0,5.71,2.92,86.3,75.7
Jul-2025,SaaS Creator Platform,TikTok Shop ID,283.1,88.1,39.9,55.4,32.7,195.0,67.0,5.81,3.15,277.5,219.1
Aug-2025,Influencer Marketing,Wardah Cosmetics,379.8,159.9,39.2,52.7,11.6,219.8,116.3,3.55,4.48,363.0,266.8
Aug-2025,Influencer Marketing,Kopi Kenangan,232.0,95.2,25.9,31.8,7.0,136.9,72.1,3.31,4.4,239.9,153.7
Aug-2025,Influencer Marketing,Erigo Apparel,275.9,116.7,25.4,38.4,7.9,159.2,87.5,2.8,4.1,267.6,192.6
Aug-2025,Influencer Marketing,Somethinc,112.6,49.1,10.6,15.5,3.2,63.5,34.2,3.33,4.41,107.5,83.4
Aug-2025,Ads Management,Tokopedia,350.5,202.1,28.6,43.2,14.0,148.4,62.6,2.5,5.53,371.4,279.0
Aug-2025,Ads Management,Traveloka,236.6,127.2,17.7,29.3,9.2,109.5,53.3,2.74,5.28,231.3,192.0
Aug-2025,Ads Management,Ruangguru,576.8,318.8,47.2,70.6,22.4,258.0,117.8,2.76,6.13,604.2,450.7
Aug-2025,Ads Management,BliBli,513.4,270.5,37.2,60.9,20.5,242.9,124.3,2.67,5.8,544.9,391.7
Aug-2025,E-commerce Enablement,Eiger Adventure,175.7,88.2,17.4,22.8,8.6,87.5,38.7,4.21,4.18,172.5,140.9
Aug-2025,E-commerce Enablement,MS Glow,152.8,75.6,12.8,20.3,8.0,77.2,36.2,3.71,3.56,167.4,114.2
Aug-2025,E-commerce Enablement,Scarlett Whitening,428.8,206.7,36.8,57.5,21.3,222.1,106.5,4.12,3.67,445.5,315.2
Aug-2025,E-commerce Enablement,Sociolla,587.3,297.9,50.6,77.6,28.9,289.5,132.4,4.44,3.46,643.4,459.4
Aug-2025,SaaS Creator Platform,IDN Media,274.5,79.7,34.9,56.1,33.5,194.7,70.3,5.46,3.46,293.9,209.2
Aug-2025,SaaS Creator Platform,Narasi TV,138.2,40.3,17.9,27.3,15.8,97.9,36.8,5.55,3.54,132.1,98.7
Aug-2025,SaaS Creator Platform,Vidio Creators,107.1,33.8,14.5,21.5,12.3,73.3,24.9,4.92,3.57,117.3,78.9
Aug-2025,SaaS Creator Platform,TikTok Shop ID,236.8,72.5,36.2,47.4,28.5,164.3,52.2,5.48,3.33,229.9,177.8
Sep-2025,Influencer Marketing,Wardah Cosmetics,349.9,153.2,38.8,49.9,10.5,196.8,97.6,3.31,4.57,362.4,243.1
Sep-2025,Influencer Marketing,Kopi Kenangan,117.4,50.6,12.3,16.2,3.6,66.8,34.7,3.1,4.35,113.4,85.4
Sep-2025,Influencer Marketing,Erigo Apparel,153.0,61.4,17.1,21.4,4.8,91.6,48.4,3.47,4.27,162.3,110.5
Sep-2025,Influencer Marketing,Somethinc,466.6,193.2,48.8,67.1,14.4,273.4,143.1,3.49,4.14,500.5,314.8
Sep-2025,Ads Management,Tokopedia,331.4,180.6,25.2,38.8,13.4,150.8,73.4,2.52,5.66,337.9,258.5
Sep-2025,Ads Management,Traveloka,404.5,224.1,32.5,47.2,15.9,180.5,84.8,2.31,5.37,419.5,325.7
Sep-2025,Ads Management,Ruangguru,804.4,457.5,69.4,98.5,33.6,346.9,145.3,2.05,5.1,765.0,679.6
Sep-2025,Ads Management,BliBli,250.0,134.3,22.1,29.2,10.4,115.7,53.9,2.29,4.97,255.7,193.7
Sep-2025,E-commerce Enablement,Eiger Adventure,253.8,117.4,21.5,33.6,12.3,136.4,69.1,4.13,3.99,245.2,188.8
Sep-2025,E-commerce Enablement,MS Glow,229.8,116.5,20.8,30.7,11.5,113.3,50.3,3.54,3.92,251.1,184.2
Sep-2025,E-commerce Enablement,Scarlett Whitening,743.8,373.9,63.6,95.2,37.6,369.9,173.5,3.99,4.11,807.0,569.7
Sep-2025,E-commerce Enablement,Sociolla,166.7,82.9,14.4,22.3,8.3,83.8,38.9,4.31,3.43,173.9,129.0
Sep-2025,SaaS Creator Platform,IDN Media,112.4,34.0,15.0,22.4,13.6,78.3,27.3,5.49,3.57,109.0,88.1
Sep-2025,SaaS Creator Platform,Narasi TV,255.1,76.3,37.8,52.0,32.1,178.8,56.9,4.89,2.9,270.1,202.9
Sep-2025,SaaS Creator Platform,Vidio Creators,193.3,55.6,24.9,39.9,22.5,137.7,50.4,5.21,2.99,193.9,138.3
Sep-2025,SaaS Creator Platform,TikTok Shop ID,207.3,59.5,31.2,40.9,25.0,147.7,50.6,6.13,3.32,213.5,155.9
Oct-2025,Influencer Marketing,Wardah Cosmetics,357.9,158.6,33.6,51.0,10.4,199.3,104.2,3.23,3.79,364.2,264.6
Oct-2025,Influencer Marketing,Kopi Kenangan,95.1,40.9,10.2,13.8,2.8,54.3,27.5,3.1,3.85,104.5,71.9
Oct-2025,Influencer Marketing,Erigo Apparel,429.4,188.0,43.6,60.9,12.4,241.3,124.5,3.45,3.82,461.1,318.9
Oct-2025,Influencer Marketing,Somethinc,253.0,101.4,24.5,35.0,7.5,151.6,84.7,2.8,4.64,261.4,167.2
Oct-2025,Ads Management,Tokopedia,284.2,164.5,21.0,35.0,11.2,119.7,52.4,2.67,5.99,304.3,242.7
Oct-2025,Ads Management,Traveloka,133.8,70.6,10.6,15.8,5.5,63.2,31.4,2.29,6.13,140.0,107.6
Oct-2025,Ads Management,Ruangguru,530.3,304.7,46.8,63.9,21.4,225.6,93.4,2.59,5.07,543.8,438.5
Oct-2025,Ads Management,BliBli,802.5,437.1,58.7,93.6,30.9,365.3,182.1,2.73,5.57,878.6,625.1
Oct-2025,E-commerce Enablement,Eiger Adventure,449.9,206.6,43.4,58.6,21.5,243.3,119.8,4.71,3.4,474.3,352.6
Oct-2025,E-commerce Enablement,MS Glow,124.7,57.8,10.4,16.1,6.0,66.9,34.4,4.34,3.4,128.0,96.5
Oct-2025,E-commerce Enablement,Scarlett Whitening,238.0,116.3,20.7,31.4,11.9,121.8,57.7,4.01,3.46,257.8,182.0
Oct-2025,E-commerce Enablement,Sociolla,590.3,280.6,52.7,78.9,30.2,309.7,147.9,4.43,3.35,597.6,448.1
Oct-2025,SaaS Creator Platform,IDN Media,140.6,44.0,18.1,28.2,16.3,96.6,34.0,5.21,3.38,143.6,106.8
Oct-2025,SaaS Creator Platform,Narasi TV,229.1,68.8,34.4,47.3,28.7,160.3,49.9,5.97,3.06,241.3,180.7
Oct-2025,SaaS Creator Platform,Vidio Creators,182.2,57.0,23.2,37.6,21.8,125.2,42.6,5.73,3.32,197.6,143.8
Oct-2025,SaaS Creator Platform,TikTok Shop ID,259.7,74.6,36.9,50.9,31.9,185.1,65.4,5.52,3.34,248.3,188.3
Nov-2025,Influencer Marketing,Wardah Cosmetics,373.7,152.3,35.1,51.1,11.4,221.4,123.8,3.45,3.96,356.2,242.1
Nov-2025,Influencer Marketing,Kopi Kenangan,524.4,216.4,56.1,74.4,15.5,308.0,162.0,2.92,3.82,546.5,378.8
Nov-2025,Influencer Marketing,Erigo Apparel,203.6,86.2,18.5,29.6,6.3,117.4,63.0,3.0,4.68,211.8,144.0
Nov-2025,Influencer Marketing,Somethinc,264.6,115.5,27.6,36.3,7.8,149.1,77.4,3.61,3.92,266.1,188.6
Nov-2025,Ads Management,Tokopedia,1087.3,621.8,94.8,134.3,45.3,465.5,191.1,2.22,5.84,1108.1,943.3
Nov-2025,Ads Management,Traveloka,245.8,140.0,20.5,29.0,9.9,105.8,46.4,2.75,6.08,235.1,195.0
Nov-2025,Ads Management,Ruangguru,376.1,213.0,32.5,44.5,15.1,163.1,71.1,2.65,5.81,387.9,312.6
Nov-2025,Ads Management,BliBli,388.2,209.8,31.8,47.4,16.1,178.4,83.0,2.5,5.84,378.1,308.5
Nov-2025,E-commerce Enablement,Eiger Adventure,302.4,150.4,27.8,38.1,15.5,152.0,70.5,3.53,4.02,296.5,247.0
Nov-2025,E-commerce Enablement,MS Glow,209.4,99.1,17.6,27.0,10.9,110.3,54.9,4.71,3.68,213.0,160.6
Nov-2025,E-commerce Enablement,Scarlett Whitening,789.8,384.9,70.1,102.6,40.3,404.9,192.0,3.49,3.91,792.4,626.1
Nov-2025,E-commerce Enablement,Sociolla,394.8,192.3,35.7,52.1,18.9,202.5,95.8,4.2,3.86,408.2,306.9
Nov-2025,SaaS Creator Platform,IDN Media,353.5,109.0,53.1,71.1,42.2,244.5,78.1,4.92,3.07,358.9,267.1
Nov-2025,SaaS Creator Platform,Narasi TV,265.1,80.8,39.4,55.1,33.2,184.3,56.6,5.74,3.14,277.1,218.2
Nov-2025,SaaS Creator Platform,Vidio Creators,122.4,36.5,18.6,24.4,14.8,85.9,28.1,5.64,2.96,122.9,94.0
Nov-2025,SaaS Creator Platform,TikTok Shop ID,190.7,54.5,28.9,37.7,22.9,136.2,46.6,5.17,3.54,188.6,145.1
Dec-2025,Influencer Marketing,Wardah Cosmetics,358.3,145.6,37.1,49.1,11.0,212.7,115.5,3.35,4.66,344.1,234.6
Dec-2025,Influencer Marketing,Kopi Kenangan,191.6,78.8,18.3,27.7,5.6,112.8,61.2,2.98,4.46,195.0,136.3
Dec-2025,Influencer Marketing,Erigo Apparel,243.8,102.8,22.1,33.3,7.6,141.0,78.1,2.85,4.23,246.7,165.5
Dec-2025,Influencer Marketing,Somethinc,633.7,253.5,66.3,92.0,19.1,380.2,202.8,3.62,3.75,641.9,426.1
Dec-2025,Ads Management,Tokopedia,760.1,404.1,57.7,90.1,31.5,356.0,176.7,2.44,5.53,735.2,615.2
Dec-2025,Ads Management,Traveloka,271.7,143.1,22.9,32.9,10.4,128.6,62.4,2.37,5.48,264.9,222.7
Dec-2025,Ads Management,Ruangguru,733.1,412.7,58.7,87.9,29.8,320.4,144.0,2.43,4.92,752.8,617.8
Dec-2025,Ads Management,BliBli,535.6,281.5,46.0,63.3,20.9,254.1,123.9,2.16,5.28,569.6,418.7
Dec-2025,E-commerce Enablement,Eiger Adventure,599.2,275.3,54.0,80.5,30.1,323.9,159.3,4.1,3.44,628.3,462.1
Dec-2025,E-commerce Enablement,MS Glow,471.6,234.4,47.2,60.3,23.6,237.2,106.0,3.84,4.07,488.9,376.4
Dec-2025,E-commerce Enablement,Scarlett Whitening,492.9,235.1,48.9,64.5,23.8,257.8,120.6,4.34,4.07,491.7,392.5
Dec-2025,E-commerce Enablement,Sociolla,225.9,106.3,22.7,28.8,11.0,119.6,57.2,3.71,4.16,236.8,164.8
Dec-2025,SaaS Creator Platform,IDN Media,460.6,141.4,67.0,90.4,57.4,319.2,104.3,5.38,2.94,438.4,363.9
Dec-2025,SaaS Creator Platform,Narasi TV,92.3,28.5,14.2,18.0,11.3,63.8,20.3,4.98,3.48,99.0,73.4
Dec-2025,SaaS Creator Platform,Vidio Creators,178.3,52.7,25.0,36.6,21.3,125.6,42.6,5.27,3.2,191.5,135.2
Dec-2025,SaaS Creator Platform,TikTok Shop ID,312.1,96.3,47.3,61.0,36.5,215.8,71.1,4.91,3.08,317.6,251.2
